おはよ	おはようからおやすみまで暮らしをみつめるライオンの提供
おは	お箸を持つ手は右手とは限らない
朝	朝はパン パンパパパ―ン　パパパパーン　パパパパンパパパパン
パン	んパ
昼	昼顔 絶賛公開中
夜	盗んだバイクで走りだした１５の夜
食べ物	弱肉強食　食物連鎖
たべもの	弱肉強食　食物連鎖
ごはん	メシシシ
すべる	すべりっこちゃん
うっかり	うっかりとしちゃん
どうも	ドーモ君
わたし	お前のこと聞いてないんだけど
私	お前のこと聞いてないんだけど
おれ	お前のこと聞いてないんだけど
俺	お前のこと聞いてないんだけど
自分	お前のこと聞いてないんだけど
あたし	お前のこと聞いてないんだけど
ぼく	お前は下僕
僕	お前は下僕
うるさい	じゃかしゃい だわ じゃかしゃい
名前	Bob a.k.a ボブ a.k.a サップ a.k.a オロゴン
年齢	加齢、加齢臭
何歳	天才、漫才、すしざんまい
何才	天才、漫才、すしざんまい
得意	チュートリアル得意
経路	およそ２㎞先を右方向です
帰る	１㎞先工事中をおこなっています
帰り道	ネコがいます
スポーツ	「カンブリア宮殿　～ゲームはスポーツとなり得るのか～」
なにしてるの	ナン食ってるけどナンなん？
そうなんだ	SOUL SOUL いつもすぐそばにある
やるね	ヤラン・ドロン
じゃんけん	グー！頭はパー！
ちら	チラリズム
ポリ	繰り返すこのポリリズム
三択	サンタクロース
二択	2卓さんに生2つ～
真実	いつも1つとは限らない
元日	元日はいつもこたつ
神	ZEUS
天気	東京都 晴れ ２８℃ 降水確率１０％ 湿度５２％ 風速２ｍ／ｓ です
雨	今日は太陽がお休
太陽	今日は太陽が大活躍　青空が広がります
くもり	今日は太陽がお休みの1日でしょう
駅	ここから自宅までの間に遅延している路線があります
電車	ここから自宅までの間に遅延している路線があります
音楽	音楽っていいですよね 「KAT-TUN」の「Real Face」はどうですか
リアル	ギリギリでいつも生きていたいからさぁ 思いっきりブチ破ろう リアルを手に入れるんだ
real	ギリギリでいつも生きていたいからさぁ 思いっきりブチ破ろう リアルを手に入れるんだ
youtube	youtubeいいですよね 「ガーリィレコードチャンネル」の「対マスターハンド戦にて全く意味のないフォックス下スマッシュ」はどうですか
こんにちは	こんにち屋さん
こんち	こんちゃーす
こんにちわ	こんにち筋肉
こんばんは	こんばんハリケラトプス
こんばんわ	こんばんワニさんもなかまにいれてあげて
ばいばい	ばいばいおじさんぐーるぐる
ジャニーさん	ユー
フリースタイルダンジョン	ぽーぽーぽーー！
瀬戸弘司	ぷーーん！
村上ショージ	どぅーん！
けんぱ	なーんお前
ピエール	コカインについては答えられません
コカイン	ピエール瀧君と三葉
覚せい剤	だめよーだめだめ
